id,text,class
ENG_176,' TKS RK FR ET LN ',LOAN
ENG_498,' PRSN PRSN TMNX ',PERSONALITY
ENG_597,' AM JTN MSK TSK TMJT FRMT ',INTERNAL
ENG_553,'  RN TMN NM ',WEB
ENGLISH_679,' 0 KNK ISRL XRS NM HRMN MLFL LTRR XRKT ',SPORTS
ENG_137x,' KT BSNL KNKS ',TELECOMMUNICATION
ENG_96x,' PNS IRKT LKT ',INDIAN
ENG_463,' KT N RKMN KT KS0S NR0 K ',TOURISM
ENG_288,' FT TKMN RKRT  SLR AKKN ',BANK
ENG_315,' FT INTR LN ',LOAN
ENG_390,' PSNK KNKS ',INDIAN
ENG_207,' EKSP KRR KNSL PRSS ',CAREER
ENG_326x,' SRFS PRFT HT TLKM ',TELECOMMUNICATION
ENG_255x,' AKTF IRKT ',INDIAN
ENG_90,' FRMS PMNT AR LNS AKSP ',TOURISM
ENG_206,' KMN KRR SLNS HLPT KLNT TKL ',CAREER
ENG_607,' TL FRNT ABT IRKT MBL ',INDIAN
ENG_20,' BLTK INSR SXT NT INSR ',INSURANCE
ENGLISH_671,' WTS STRT SLR RNJ PRFT TNTL PRKT MSSP ',HEALTH
ENG_205,' TKL T KNS ',CAREER
ENG_540,' WTS INTS KRNS ',VISA
ENG_474,' S BRN LR EFR BLT TST T KRKT ',SPORTS
ENG_488,' SKS TRF SKS KNTR ',INTERNAL
ENG_265,' BNPT TRNM HSTT KT ',SPORTS
ENG_449,' N PPLR NN ST ',GK
ENGLISH_681,' BLK KS PN HF ',GK
ENG_121,' WS XRTS HLTS RKRT KMS PLYT MJR LK INKL ASST TBL PLS ',SPORTS
ENG_527,' RK INT ENTR USNK BSNS FS ',VISA
ENG_426,' R AKRB WNSP S ',TELECOMMUNICATION
ENG_525,' FT KP PS PRT RKRT KP ',VISA
ENG_178,'  BK FLT ',TOURISM
ENG_521,' PL FRM KNTR FS ASTR ',VISA
ENG_41,' SM  RT RSM ',CAREER
ENG_91,' XPR ALTR AR AMBL ',TOURISM
ENGLISH_614,' FTR JB PRSP L KRTT ESP KFT JBS ',CAREER
ENG_93,' KST INKL EFR0 AR TRNS ',TOURISM
ENG_308,' FTS FML FLTR PLN ',INSURANCE
ENG_495,' BS KRLS KR LKS PRSN MTR INTL ',PERSONALITY
ENG_284,' FRM R KT INF ABT TRNS FRTL ',AGRICULTURE
ENG_274x,' E0RN ',TELECOMMUNICATION
ENG_22,' Y INKR TTL AMT INSR ',INSURANCE
ENG_299,' LRJS OSN WRLT ',GK
ENG_563,' APLN BKR PLN LTR ',WEB
ENGLISH_637,' INSR KMPN RSNT HL0 INSR PLS TS 0T MN ',INSURANCE
ENG_529,' EKST INTN BSNS FS ',VISA
ENGLISH_667,' KLMS ST YR WN TSKN PLS ',INSURANCE
ENG_138,' JT BSNL KNKS ',TELECOMMUNICATION
ENG_307,' HL0 TP ',INSURANCE
ENG_40,' ABT TL BST KNSL ',CAREER
ENG_139,' KNKS BSNL ',TELECOMMUNICATION
ENG_458,' TTKL BKNK ',INDIAN
ENGLISH_656,' KRJS USNK WTNK RL STN ',INDIAN
ENG_249,' LFL ANT OKST SN KT NT ',HEALTH
ENG_183,' L KLM PMNT ',INSURANCE
ENG_231,' T UR BNKS KPBL ',BANK
ENG_399,' TPS FRMN INT ',AGRICULTURE
ENG_422,' SKKS KLFR TM ',SPORTS
ENG_449x,' NK PPLR ST OF ',GK
ENG_98,' HPN FRKT FT IT ',INDIAN
ENG_604,' FR TKT TLFR T XT PRFT KRR ',INDIAN
ENG_464,' LKK PTNT BRN ',TOURISM
ENG_268,' TS WMN SPRT PLT SMR OLMP  ',SPORTS
ENG_124,' PRT EKSK  KRR HTS TYN KRX ',SPORTS
ENG_323,' FX INTN KRKT S TKN HT TRK TST MX ',SPORTS
ENG_484,' S BL HRT TRFS ',INTERNAL
ENG_546,'  TMN NM SKR ',WEB
ENG_143,' SRFS Y OFR MTKL TRNS ',TOURISM
ENG_218,'  PRFN TB ',HEALTH
ENG_34,' IRKT MBL XT RJST ',INDIAN
ENG_377,' MNTR SN THN ML ',SPORTS
ENG_245,' TS IMPK STRS HL0 ',HEALTH
ENG_327,' FT MSTR KNTR FSLT ',TELECOMMUNICATION
ENG_68,' ST HSTS RL BNPT TRN KLJ HK BSTS ',SPORTS
ENG_224,'  ENRL  SKL AKRK PRK ',AGRICULTURE
ENG_346,' FTR PRSP TNK MKMM KMPT MNKM SLBS JB PRSP ',CAREER
ENG_278,' TS PRSS KNKL TKT ',TOURISM
ENG_487,' USB KBL KMS AKST HPNS BKP ',INTERNAL
ENG_589,' WN MNKL RSM RKP ',RECIPES
ENG_394,' TS RT STT MN INT RL ',INDIAN
ENG_281,' FTS PRSS SL TSTN ',AGRICULTURE
ENG_358,' RSK FRM ATS ',HEALTH
ENG_559,' KN JM TLNT SRFS ',WEB
ENG_331,'  BRNK PTS FT US ',TOURISM
ENG_384x,' RKRT FR TPLK KMNK USNK  WRR SRKT ',TELECOMMUNICATION
ENG_297,' FX HJST MNTN WRLT ',GK
ENG_190,' R INF FRTL ',AGRICULTURE
ENG_163,'  TRNS TF LNK TST KFRJ ',TELECOMMUNICATION
ENG_54,' LNTR KLKT TKSS INSR ',LOAN
ENG_17,' SMLP INFK ',HEALTH
ENG_256x,' TL PL ABT IRKT MBL ',INDIAN
ENG_217,' BST SPTL XN ',HEALTH
ENG_271x,' TS LN ST RK FR K AFT TT ',TELECOMMUNICATION
ENG_596,' AM JTN MSK FRMT KMPL  ',INTERNAL
ENG_85,' PRLS KFRT PLS ',INSURANCE
ENG_389,' BK FLT ',TOURISM
ENG_165,' ATSL FSTR TLP ',TELECOMMUNICATION
ENG_338,' ORKN FT KSTL ',AGRICULTURE
ENG_544,' AM ALT XNJS ST ON ',WEB
ENG_483,' PRSJ TSKN USB KMPT FN TN FT STRN STF ',INTERNAL
ENG_29,' O0R INTN ELS B PRPR ',BANK
ENG_55x,' NTNL FLR ITL ',GK
ENG_397,' R FNT INF ABT KMPS ',AGRICULTURE
ENG_6,' R INF ABT PSTS ESTB RK RP ',AGRICULTURE
ENG_201,' LST JBS AFL ',CAREER
ENG_476,' WN SLNT HTS SKTR INF HRT TRF ',INTERNAL
ENG_240,' KNTR WT PPLX TNST ',GK
ENG_434,' XNJ USRN ',TOURISM
ENGLISH_682,' KFT LF INSN SKMS P TFTN ',INSURANCE
ENG_342,' RKRT ORKN NFT TRNK ',BANK
ENG_374,' TFLT ',LOAN
ENG_403,' UN ',GK
ENG_353x,' K MSLM KNKT KRL ',GK
ENG_30,' T TFN NR ',BANK
ENG_401x,' X BKST TSRT RLT ',GK
ENG_404x,' INFN LT BLB ',GK
ENG_403,' NR BRNK KLT INT ',BANK
ENG_313,' BK TKT USNK IRKT SRFS ',INDIAN
ENG_306,' FTS TL FR N KMPN ',INSURANCE
ENG_180,' WN BK  BK PKR RLT PKR TRNM ',SPORTS
ENG_64,' KNTR KLT LNT RSN SN ',GK
ENGLISH_683,' PNS KR RTN ',INSURANCE
ENG_31,' PRT L0 INSR ',INSURANCE
ENG_56,' NTL FLWR XN ',GK
ENG_361,' FL KLM ',INSURANCE
ENGLISH_644,' BSNL KNKX  ',TELECOMMUNICATION
ENG_242,' TPR FRBS BLNR UNFR LST ',GK
ENG_429x,' ATFT ISTN ',TELECOMMUNICATION
ENG_106,' MKS AMNT  HS LN ',LOAN
ENG_566,' KMPN TMN NM PP AKK ',WEB
ENG_136,' NT BSNL KN HLP ',TELECOMMUNICATION
ENG_197,' LST ATM SNTR XN ',BANK
ENG_468,' IXNJ FRM  BRTB TT RT  AN0R ',TELECOMMUNICATION
ENG_45,' TTKT TKS RTRN PL KRR KNSL SSNS ',CAREER
ENGLISH_650,' X ST KNTR RKKN MKSK INTP ',SPORTS
ENG_220,' R FNT INF ABT FRTL ',AGRICULTURE
ENG_452,' ANS TF INTR KS ',CAREER
ENG_142x,' MNT UPLT ',TELECOMMUNICATION
ENG_309,' FT KPMN ',INSURANCE
ENGLISH_674,' MTKX PRSK RTS KT MN ',SPORTS
ENG_160,' TP AKK AFL ',BANK
ENG_415,'  FNT HSPT JFN INSR N ',INSURANCE
ENGLISH_623,' LBR UNN PRFT KP INSR ',INSURANCE
ENG_170,' JMK EKSP MNL ',GK
ENG_423,' MY MN MPKR ',SPORTS
ENG_445,' KLM  N PTNT BL IMTT JTN PLS ',INSURANCE
ENG_552,' WTS TMN LKN ',WEB
ENG_140x,' PSN  TLKM KN XFT HSS ',TELECOMMUNICATION
ENG_345,' SR TL ABT SFT TFL KRSS RLTT JF NT WB AFTR SKL ',CAREER
ENG_135x,' KT BSNL KN ',TELECOMMUNICATION
ENG_252,' BLTN INSR INSR ',INSURANCE
ENG_242x,' X UNF TPT FRBS BLNR LST ',GK
ENG_469x,' SPX JNRT RKFR ',TELECOMMUNICATION
ENG_62,' AXS LRJS XPN ML ',GK
ENG_141,' UPLT ',TELECOMMUNICATION
ENG_247,' IM EKSP BF XT ',HEALTH
ENGLISH_657,' ST PM INT ',GK
ENG_574,' Y SMBR TST ',RECIPES
ENG_405,' LNKS RFR RLT ',GK
ENG_444,'  PL XR APRT EX  TK SP HM INSR PLS ',INSURANCE
ENG_311,' FT SRFS RLTT TKTN PRFT IRKT ',INDIAN
ENG_446,' TL NM ANML HS BLT WT ',GK
ENG_194,' BNK JFS L INTR  LNS ',BANK
ENG_355,' TRTM SMLP ',HEALTH
ENG_14,' ONLN KRS 0R SL FS TK ',AGRICULTURE
ENG_585,' HS MNKL RSM PRPR ',RECIPES
ENG_391x,' PNS LS MB ',INDIAN
ENGLISH_695,' INSR BRKR INSR AJNT ',INSURANCE
ENG_138x,' PL TL  KT BSNL KNKT ',TELECOMMUNICATION
ENG_290,' FT SRFS AFLB  KRR KNSL ',CAREER
ENG_468x,' PS KNJ M  TT PLN AN0R BRTB ',TELECOMMUNICATION
ENGLISH_631,' PLSM SRFK ',CAREER
ENG_383x,' BRTK TF SKNL RNKS ',TELECOMMUNICATION
ENG_196,'  KNJ ATM PN ',BANK
ENG_339,' SBJK TT ONLN AKRK PRKM ',AGRICULTURE
ENG_395,' RSKS JNTK ENK ',AGRICULTURE
ENG_35,' KNSS 0TKL TRFL ',INDIAN
ENG_235,' AM 0 PS FRM IKN X LNK XT LRN O0R 0N ENK ',CAREER
ENG_404,' INFN BLB ',GK
ENG_59x,' R T INTS RFLT BN ',GK
ENG_455,' IRKT MBL FR RL TKTN ',INDIAN
ENG_152,' IMNS FSTN INT ',TOURISM
ENG_33,' Y AST JTN KX FK ',INSURANCE
ENG_513,' LMN PLS XL PKL ',RECIPES
ENG_310x,' ATFT USK IRKT MBL ',INDIAN
ENG_57x,' R PRMN SKRT SRK LKTT ',GK
ENG_328,' FT TFRN BTN KRTK FRKN NT KRTK NKL ',TELECOMMUNICATION
ENG_327x,' MSTR KNTR FSLT ',TELECOMMUNICATION
ENG_448,' UN STNT  ',GK
ENG_78,' WTS UPLN TN LNK KMN FRK ',TELECOMMUNICATION
ENGLISH_673,' ST FT ',INSURANCE
ENG_312x,' STPS USNK IRKT MBL ',INDIAN
ENG_396,' TS KMPS ',AGRICULTURE
ENG_248,' TR TRTM FR BKTR MNNJ ',HEALTH
ENG_127,' B PRPR INT ',BANK
ENG_501,' KT RSP AL PLK ',RECIPES
ENG_105x,'  KNJ M  TT RT  AN0R ',TELECOMMUNICATION
ENGLISH_696,' WN MK SLP ',HEALTH
ENG_576,' TL ES STPS MNKL RSM ',RECIPES
ENG_53,' F HLP KMPL ITMS WT BLTR ',LOAN
ENG_188,' T SL TSTN ',AGRICULTURE
ENG_602,' FRNT ABT IRKT MBL ',INDIAN
ENG_202,'  RT PRFS RSM ',CAREER
ENG_27,' TRFT ALWT  MN0S SLR ',BANK
ENGLISH_610,' K KRKT TM TS BRN LR PL  ',SPORTS
ENG_97,' TTLS 0TKL BKN ',INDIAN
ENG_512,' PTN PRT ',RECIPES
ENG_257,' T TKT KNSL KRKS ',INDIAN
ENG_508,' RF LT ',RECIPES
ENG_599,' RMF USB KMPT AFT STRN FLS ',INTERNAL
ENG_96,' HPNS IRKT LK ',INDIAN
ENG_46,' PSBL RSKT KNSL KNSL SSN ',CAREER
ENG_328x,' TS TF BTN KRKT FRK KRTK ANKL ',TELECOMMUNICATION
ENG_353,' MSLM KNKT KRL ',GK
ENG_204,' TS BNK 0RP AFKT KNSL ',CAREER
ENG_522,' AP FS ',VISA
ENG_351x,' BTS M ',GK
ENG_322,' FRM R MS THN BLNK ',SPORTS
