"ENG_5"," carier conselling sessionss confidensial"
"ENGLISH_619"," gt pet insurance residnt canada?"

"ENGLISH_620"," rgstr ralway tktng servc thru irctc mbble"

"ENGLISH_621"," whch yr hanging abloshd united kngdm"

"ENGLISH_622"," pilot aftr opting non-medical strm ?"

"ENGLISH_623"," labr union prvde gp insurance"

"ENGLISH_624"," whn bst time 1st exam?"

"ENGLISH_625"," tho frind adsl connection bsnl cant one...why?"

"ENGLISH_626"," tall wtc 9/11 attacls?"

"ENGLISH_627"," am infectius, im taking antiretroviral drugs 'undetectable' viral load"

"ENGLISH_628"," flu vaccinations pregnancy cause false +ive hivtest results?"

"ENGLISH_629"," nd overseas travel insurance?"

"ENGLISH_630"," term insrnce?"

"ENGLISH_631"," placement srvcs?"

"ENGLISH_632"," mny penlyt pnts allianz accept business, pvt motor insurcne policy"

"ENGLISH_633"," team lowsest score odi?"

"ENGLISH_634"," heart attack, cancer, stroke covered hlth insurance plicy ?"

"ENGLISH_635"," whch jerome jerome novel hs dog called mont morency?"

"ENGLISH_636"," custom officr airprt"

"ENGLISH_637"," insurance company rescinded health insurance polcy. ds tht mn?"

"ENGLISH_638"," hpens money stolen whn am"

"ENGLISH_640"," minimum annual income rqrd eligible critical illness insurance ?"

"ENGLISH_641"," gprs"

"ENGLISH_642"," cancel tkt refund"

"ENGLISH_643"," lose gprs connctn aftr entrung detils"

"ENGLISH_644"," bsnl connction ?"

"ENGLISH_645"," add passnegts pssngr list stred mobile"

"ENGLISH_647"," whch base ball legaue tm walt disney op control 96 ?"

"ENGLISH_648"," board trn rsrvd coach wtlsted tkt?"

"ENGLISH_649"," vrial meningitis trtd?"

"ENGLISH_650"," whch 1st country recognize mexicos independence"

"ENGLISH_651"," nd life insurance"

"ENGLISH_652"," whch female golfer nick taco?"

"ENGLISH_653"," organic prods free pesticide residue?"

"ENGLISH_654"," worlds crickt player?"

"ENGLISH_655"," details qualifiction position"

"ENGLISH_656"," chrges using waiting rly stn?"

"ENGLISH_657"," 1st pm india"

"ENGLISH_658"," climeatolgy recrods discontd"

"ENGLISH_659"," difftne makes cars james bond"

"ENGLISH_660"," bk circular journey tikts"

"ENGLISH_661"," einstein maintian diary?"

"ENGLISH_662"," employer allwed change helth beneift progrme lesser benefits"

"ENGLISH_663"," einstein 2 swim"

"ENGLISH_664"," shd invest cash policy whn savings rate better?"

"ENGLISH_665"," whn uk handover hk china?"

"ENGLISH_666"," add policy details auth bank webiste"

"ENGLISH_667"," claims 1st year, wanna discontinue policy?"

"ENGLISH_668"," bld donation increase risk hiv infection?"

"ENGLISH_669"," channle tunnel eruope open?"

"ENGLISH_670"," margert thatcher pm?"

"ENGLISH_671"," whats starting salary range private dental practices mississippi?"

"ENGLISH_672"," employer wrk directly insurance co?"

"ENGLISH_673"," stay vet?"

"ENGLISH_674"," medication prescription reads "q.i.d." mean?"

"ENGLISH_675"," policy old, add children"

"ENGLISH_676"," empolys psychologists?"

"ENGLISH_678"," conditions shod abt"

"ENGLISH_679"," 7th king israel shares name herman melville literary character?"

"ENGLISH_680"," epa hazardous air pollutants area?"

"ENGLISH_681"," blk keys piano have?"

"ENGLISH_682"," govt life insuance schems pay dividends?"

"ENGLISH_683"," hpns car written"

"ENGLISH_684"," toe guard bat"

"ENGLISH_685"," 1st govenro geneal free india"

"ENGLISH_686"," indian pm resign completeing term"

"ENGLISH_687"," outfit's national intelligence daily circulation 200?"

"ENGLISH_688"," whats 'cashless' claim?"

"ENGLISH_689"," whch worlds largets diamond producing country"

"ENGLISH_690"," bee larva chance becoming stops eating royal jelly days?"

"ENGLISH_691"," advantages booking circular journey ticket?"

"ENGLISH_692"," whch 1st country host modern olympics"

"ENGLISH_693"," pay insurance premiums thry banks servc providers"

"ENGLISH_695"," insurance broker insurnce agent?"

"ENGLISH_696"," wine mke sleepy"

"ENG_QUERY_5000"," cl chrgs 4 clng crd"

"ENG_QUERY_5001"," atl wld clng crd chrgs"

"ENG_QUERY_5002"," clng chrg 4 artl wrd clng crd"

"ENG_QUERY_5003"," crd thurg payfone mob"

"ENG_QUERY_5004"," uz artl wrld clng crd via mb ph"

"ENG_QUERY_5005"," uz airtel world calln mobile ph"

"ENG_QUERY_5006"," da chrg 4 cal fwd"

"ENG_QUERY_5007"," cll frwd chg"

"ENG_QUERY_5008"," cll div chg"

"ENG_QUERY_5009"," cll div charg"

"ENG_QUERY_5010"," 2 actv rmng"

"ENG_QUERY_5011"," 2 activate uz romng"

"ENG_QUERY_5012"," 2 activate uz roaming"

"ENG_QUERY_5013"," rmng chg"

"ENG_QUERY_5014"," hw2 dactv8 rmng"

"ENG_QUERY_5015"," 2 dactiv8 rming"

"ENG_QUERY_5016"," 2 dactv8 romng"

"ENG_QUERY_5017"," 2 dactiv8 romg"

"ENG_QUERY_5018"," iz romg aplicbl 4 frwrd cl"

"ENG_QUERY_5019"," romg aplicabl divrtd cal"

"ENG_QUERY_5020"," iz romg aplcbl 4 fw cls"

"ENG_QUERY_5021"," roamng applicbl fr divert8 cals"

"ENG_QUERY_5022"," ppd crd rchrg"

"ENG_QUERY_5023"," hw2 rchrg atl ppd crd"

"ENG_QUERY_5024"," h2 gt blns enqry"

"ENG_QUERY_5025"," hw2 gt cl bal enq"

"ENG_QUERY_5026"," hw2 gt cl balns nqry"

"ENG_QUERY_5027"," 2 gt cal balance inquiry"

"ENG_QUERY_5028"," gprs service activ8d"

"ENG_QUERY_5029"," 2 actv8 gprs"

"ENG_QUERY_5030"," gprs actv8d"

"ENG_QUERY_5031"," gprs seting mobile ph"

"ENG_QUERY_5032"," shl st persn cmp laptp 2 gprs 2 cnt net"

"ENG_QUERY_5033"," pc setting 4 using gprs cnnct 2 internet"

"ENG_QUERY_5034"," pc setting 4 uzng gprs 2 cnnct net"

"ENG_QUERY_5035"," pc setng 4 uzng gprs 2 cnct 2 inrnet"

"ENG_QUERY_5036"," laptop setting 4 using gprs 2 cnct 2 internet"

"ENG_QUERY_5037"," w@ monthly chrges 4 gprs"

"ENG_QUERY_5038"," monthly chargs 4 gprs"

"ENG_QUERY_5039"," monthly chargs gprs"

"ENG_QUERY_5040"," mnthly chrgs gprs"

"ENG_QUERY_5041"," mntly chargs 4 gprs"

"ENG_QUERY_5042"," mntly chargs gprs"

"ENG_QUERY_5043"," 2 blk mbl numbr"

"ENG_QUERY_5044"," 2 blk mob nmbr"

"ENG_QUERY_5045"," blok mob"

"ENG_QUERY_5046"," 2 gt duplicate sim"

"ENG_QUERY_5047"," gt dup sim"

"ENG_QUERY_5048"," gt dup sim"

"ENG_QUERY_5049"," gt duplic8 sim"

"ENG_QUERY_5050"," gt duplc8 sim"

"ENG_QUERY_5051"," 2 stp promo offer calls sms"

"ENG_QUERY_5052"," 2 stp promo offer cals sms"

"ENG_QUERY_5053"," 2 stp promotional ofr clls sms"

"ENG_QUERY_5054"," 2 stp promotional offr clls sms"

"ENG_QUERY_5055"," hw2 stp promo offer clls sms"

"ENG_QUERY_5056"," airtel ppd ofrs"

"ENG_QUERY_5057"," on9 ppd mbl rechrg"

"ENG_QUERY_5058"," onlin ppd mob recharg"

"ENG_QUERY_5059"," onlyn ppd mb rchrg"

"ENG_QUERY_5060"," gud plc 2 buy 10s strng on9"

"ENG_QUERY_5061"," 2 ht ovrhd sht 10s"

"ENG_QUERY_5062"," whr 2 fnd sommr tenis cmp"

"ENG_QUERY_5063"," whr 2 wtch wimbldn on9"

"ENG_QUERY_5064"," 2 retrn fst srv"

"ENG_QUERY_5065"," whr 2 dload frnch finale"

"ENG_QUERY_5066"," whr 2 gt fre tenis trng"

"ENG_QUERY_5067"," whu top 5 male tenis playrs od al time"

"ENG_QUERY_5068"," hw2 wtch fnch opn on9"

"ENG_QUERY_5069"," whr 2 gt chip wmbldn tkt"

"ENG_QUERY_5070"," hwz 10s wrld rnk clcul8"

"ENG_QUERY_5071"," brnd aprl andy rddk"

"ENG_QUERY_5072"," bst strng 2 max cntrl"

"ENG_QUERY_5073"," 2 hit 4hand slce"

"ENG_QUERY_5074"," hu consdr bst tenis plyr al tym"

"ENG_QUERY_5075"," ar pmp 4 rcing byke"

"ENG_QUERY_5076"," bst begnnr rd cykle"

"ENG_QUERY_5077"," cst 2 rplc cykl cbl"

"ENG_QUERY_5078"," 2 buy gd mntn byk"

"ENG_QUERY_5079"," whtz bst bik trlr dere"

"ENG_QUERY_5080"," whr 2 buy clssc crusr bykes la"

"ENG_QUERY_5081"," whr 2 gt byke chngng manual"

"ENG_QUERY_5082"," gud tshrt cptn 4 bykng cmmnti"

"ENG_QUERY_5083"," typ ar pmp reqd 4 rcng bike"

"ENG_QUERY_5084"," whr 2 gt cul gazets 4 byke"

"ENG_QUERY_5085"," ok 2 wash mntn byke disk braks wid hnd sop"

"ENG_QUERY_5086"," hw2 fx byk brks"

"ENG_QUERY_5087"," hw2 rechrg laptp whl ridng byke"

"ENG_QUERY_5088"," lukng 4 prt 4 suspnsn frk"

"ENG_QUERY_5089"," gud rd byks 4 excercising"

"ENG_QUERY_5090"," bst brand 4 crusr byk"

"ENG_QUERY_5091"," whr 2 byckl lck"

"ENG_QUERY_5092"," fndng gud wrkout pln 4 runers"

"ENG_QUERY_5093"," whr2 blnks trek spyks"

"ENG_QUERY_5094"," wrld rcrd tym 4 rnng 1 myl"

"ENG_QUERY_5095"," trn4 vrtcl marthon"

"ENG_QUERY_5096"," whatz bst 2 incrse running spd"

"ENG_QUERY_5097"," dus any1 hv marthon trng advce"

"ENG_QUERY_5098"," rght wayz 2 strt rung progrm"

"ENG_QUERY_5099"," wtng tym btwn etng rng"

"ENG_QUERY_5100"," whr ronng grps 4 amatars"

"ENG_QUERY_5101"," bst on9 rut planr 4 runing"

"ENG_QUERY_5102"," whatz bst sprnt intrwl 2 brn fat"

"ENG_QUERY_5103"," whr 2 lrn 2 jog"

"ENG_QUERY_5104"," whtz cost gud tradmil"

"ENG_QUERY_5105"," whtz ideal tym day 2 run"

"ENG_QUERY_5106"," gud 2 warmup b4 runing"

"ENG_QUERY_5107"," whtz fstst myl tym rcrd"

"ENG_QUERY_5108"," advntg hang tecnik lng jmp"

"ENG_QUERY_5109"," bst shus 4 rnng trdmil"

"ENG_QUERY_5110"," whuz wrld bst tbl tenis plyr"

"ENG_QUERY_5111"," nam >- hu hs 1 max gr@ slams"

"ENG_QUERY_5112"," watz fastst blad w/o carbn ti al"

"ENG_QUERY_5113"," watz prestrng 10s raquets"

"ENG_QUERY_5114"," hws 10s ball md"

"ENG_QUERY_5115"," mne claycort titles hs federer 1"

"ENG_QUERY_5116"," watz diff btw midsize mid+ rqts"

"ENG_QUERY_5117"," prps warin wrstb"

"ENG_QUERY_5118"," whu md 1st titanium 10s racqt"

"ENG_QUERY_5119"," lindsey davenport strtn playn tenis"

"ENG_QUERY_5120"," 1st rus playa 2 hv gr@ slam vctry"

"ENG_QUERY_5121"," w@ brs 10s balz uz tourneys"

"ENG_QUERY_5122"," watz gud 10s wrkout rtne"

"ENG_QUERY_5123"," w@ wz a1 10s match dis yr"

"ENG_QUERY_5124"," whr2 gt drml8 sat 4my 10s rkt"

"ENG_QUERY_5125"," who's 2nd bst playa grass bhnd federer"

"ENG_QUERY_5126"," fre instructional 10s vids"

"ENG_QUERY_5127"," country 10s originate frm"

"ENG_QUERY_5128"," heat cauz 10s racket strings 2 break"

"ENG_QUERY_5129"," whr ic gms rolnd garos www"

"ENG_QUERY_5130"," watz proper tire inflation 4 adlt mntn bke"

"ENG_QUERY_5131"," whr2 gt nu styrr tube 4ma 4k"

"ENG_QUERY_5132"," mke bmx lytr"

"ENG_QUERY_5133"," whr2 gt trkn devys 4my mountn bke"

"ENG_QUERY_5134"," watz comfy bke seat"

"ENG_QUERY_5135"," wt cpact 4 frestyl byk"

"ENG_QUERY_5136"," h2 mke pdl bke fstr"

"ENG_QUERY_5137"," whr fnd cart kit"

"ENG_QUERY_5138"," h2 instl bke brk cbl"

"ENG_QUERY_5139"," wch cmpni mks bst mntn byk"

"ENG_QUERY_5140"," w@ shrt byk cld"

"ENG_QUERY_5141"," watz a1 w3 4 bke accessories"

"ENG_QUERY_5142"," whr d/l font trek bikes"

"ENG_QUERY_5143"," lng 2r de france"

"ENG_QUERY_5144"," der satellite radio avaiable 4 biking users mve"

"ENG_QUERY_5145"," whr2 gt flshlyt datz pwrd bicycl"

"ENG_QUERY_5146"," whr gd qb bicycls md"

"ENG_QUERY_5147"," who's a1 distanc runna ll tym"

"ENG_QUERY_5148"," gud runn shoz 4 hi arch"

"ENG_QUERY_5149"," hw2 gt bk shape fst 4 rng"

"ENG_QUERY_5150"," waz a1 breathn tekniq"

"ENG_QUERY_5151"," h2 zug 4 upright marathon"

"ENG_QUERY_5152"," whch w3 cud fnd rng fct"

"ENG_QUERY_5153"," a1 shoz 2 buy 4 jogger hlp"

"ENG_QUERY_5154"," bst rng shus 4 sprnt"

"ENG_QUERY_5155"," brethn tekniks 4 crs cntry rns"

"ENG_QUERY_5156"," wayz imprvng spd stmyna"

"ENG_QUERY_5157"," dlng wid heat yl rng"

"ENG_QUERY_5158"," hw2 stp hrtn ma hip yl rnng"

"ENG_QUERY_5159"," lengthen stride"

"ENG_QUERY_5160"," bst strng 2 max cntrl"

"ENG_QUERY_5161"," 2 strk 4hand slce"

"ENG_QUERY_5162"," hu regrd bst tenis plyr al tym"

"ENG_QUERY_5163"," hu view bst tenis plyr al tym"

"ENG_QUERY_5164"," whtz bst novc rd bcycl"

"ENG_QUERY_5165"," cst 2 renw cykl cbl"

"ENG_QUERY_5166"," 2 prchs gd mntn byk"

"ENG_QUERY_5167"," hw2 repr byk brks"

"ENG_QUERY_5168"," bst marq 4 crusr byk"

"ENG_QUERY_5169"," gud rd byks 4 wrkout"

"ENG_QUERY_5170"," whatz bst 2 gain rng spd"

"ENG_QUERY_5171"," prce rplcng cykl cbl"

"ENG_QUERY_5172"," whtz qkst myl tym rcrd"

"ENG_QUERY_5173"," uz warin wrstb"

"ENG_QUERY_5174"," fre eductnl 10s vdo"

"ENG_QUERY_5175"," frm wch ntion 10s strtd"

"ENG_QUERY_5176"," heat indus 10s racket strings 2 break"

"ENG_QUERY_5177"," watz prpr tire expnsn 4 adlt mntn bke"

"ENG_QUERY_5178"," hw2 countr quik srv"

"ENG_QUERY_5179"," whr2 gt bik prts chngng"

"ENG_QUERY_5180"," whr 2 gt cul gizmos 4 byke"

"ENG_7001"," whn ws rajya sabha frmd?"

"ENG_7002"," whn 1st meetng rajya sabha hld?"

"ENG_7003"," whn ws th concl stts renmd 2 rjya sabh?"

"ENG_7004"," ws 1st charmn rjy sba?"

"ENG_7005"," wo ws th 1 dpt chrmn rjya sbha?"

"ENG_7006"," th max strngth rjya sbha?"

"ENG_7007"," actl strngth rjy saba?"

"ENG_7008"," mny mmbrs evry stt ave rajya sabha?"

"ENG_7009"," mny mmbers chsn frm unin tritoris?"

"ENG_7010"," rajya sbha kaled prmnnt bdy?"

"ENG_7011"," trm mmbr rajya sabha?"

"ENG_7012"," qrm 2 cnsttute meetng rjy sbha?"

"ENG_7013"," whch prty wd max mmbrs house?"

"ENG_7014"," acts chairman rajya sabha?"

"ENG_7015"," vce presdnt ind elctd?"

"ENG_7016"," wt th trm offc vce-prsdnt ind?"

"ENG_7017"," crrntly chrmn rjya sbha?"

"ENG_7018"," dpty chrmn elcted?"

"ENG_7019"," rspnsblts dpty chrmn?"

"ENG_7020"," dpty chrm rite nw raj sabh?"

"ENG_7021"," tks ovr prcdng rajya sabha whn bth chairman nd deputy chairman nt prsnt?"

"ENG_7022"," crrntly whu ldr th hse?"

"ENG_7023"," rspnsblts th leader hse?"

"ENG_7024"," leader oppstn rite nw?"

"ENG_7025"," scrtry gnrl rajya sabha fr nw?"

"ENG_7026"," th scrtry gnrl appntd?"

"ENG_7027"," hte rle secratary genarel?"

"ENG_7028"," ar mmbrs raj saba elctd?"

"ENG_7029"," req 2 bcome raj saba mber?"

"ENG_7030"," shud membr brn frum skate frm whr hes elct 2 raj saba?"

"ENG_7031"," raj saba nominated membrs?"

"ENG_7032"," du nomanated mambr vote 4 prsdent vice presdnt elction?"

"ENG_7033"," frst nominated woman candidate raj saba?"

"ENG_7034"," nmnated membr rite nw raj sab?"

"ENG_7035"," comon peple thr btw raj saba nd concil minit?rs"

"ENG_7036"," lok saba prtcpate raj saba evnts?"

"ENG_7037"," %tge woman mmbr lok saba 4 nw?"

"ENG_7038"," whos youngst mmbr rahj saba?"

"ENG_7039"," eldst raj sbh membr?"

"ENG_7040"," serving membr raj saba?"

"ENG_7041"," mmbr avng longst lgsltv exp raj saba prsnt tme?"

"ENG_7042"," decids 2 rmve membr frm raj saba?"

"ENG_7043"," thr intrstn unque pwr raj saba?"

"ENG_7044"," relationahp bw raj saba lok saba?"

"ENG_7045"," ny deadlok btw 2 house pssble?"

"ENG_7046"," 2 slv deadlok btwn 2 houses?"

"ENG_7047"," mny jnt sitin lok raj saba hppnd tl nw?"

"ENG_7048"," pwers raj saba mny bll?"

"ENG_7049"," diff catgry prlment comity raj saba?"

"ENG_7050"," watz adhoc comity?"

"ENG_7051"," stndng comity?"

"ENG_7052"," drsc?"

"ENG_7053"," mny drsc cnstuted til nw?"

"ENG_7054"," wnt 2 knw al functns drsc?"

"ENG_7055"," mny drsc undr lok nd raj saba?"

"ENG_7056"," wch drsc nd dprtmnts undr raj sabha cntrl?"

"ENG_7057"," tel dtls chrmnshp comities raj saha?"

"ENG_7058"," functns comity ethcs?"

"ENG_7059"," comity imps snctns ethcs?"

"ENG_7060"," thr ny cde cndct statd comity ethcs whch raj saba alos took?"

"ENG_7061"," prsnce rajya sabha (dclrtn assts nd libilitis) rls, 2004, wt info req 2 furnshd mmbrs 2 chrmn, rajya sabha?"

"ENG_7062"," rd pcnry intrsts nd th ingrdnts throf, idntfd th commtt ethcs, rspct whch info 2 frnshd mmbrs?"

"ENG_7063"," whthr pcnry intrsts mmbrs outsd th contr cm undr prvw?"

"ENG_7064"," bill?"

"ENG_7065"," tel typs bills?"

"ENG_7066"," diff btw bill nd act?"

"ENG_7067"," stps thr pasng bill?"

"ENG_7068"," chrmn vote?"

"ENG_7069"," votin mmthds raj saba has?"

"ENG_7070"," effcts dsslutns lok saba busns raj saba?"

"ENG_7071"," cllin atntn?"

"ENG_7072"," watz spl mntion?"

"ENG_7073"," watz motion?"

"ENG_7074"," typs motin?"

"ENG_7075"," watz n-dy-yt-nmd-mtn?"

"ENG_7076"," watz resoltn?"

"ENG_7077"," watz presidnt addr?"

"ENG_7078"," watz pnt ordr?"

"ENG_7079"," watz dlatry mtion?"

"ENG_7080"," watz shrt drtn discsn?"

"ENG_7081"," 2 raj saba?"

"ENG_7082"," str nd unstr q?"

"ENG_7083"," decides admsblty ques?"

"ENG_7084"," watz totl que day?"

"ENG_7085"," whtz prlmntary prevaligs?"

"ENG_7086"," prlmntary prevaligs cdfd ind?"

"ENG_7087"," watz diff btwn brch pravilig nd cntpt huse?"

"ENG_7088"," wtz prcdr rgrdng qustn prvlg?"

"ENG_7089"," prcdngs rjy sbh tlvsd?"

"ENG_7090"," whthr fnctnng rjy sbh sacratereat cums undr prvw th rght 2 infrmtn act, 2005?"

"ENG_7091"," gve dtls persons contacted?"

"ENG_7092"," whtz prlmntry frm? nw, mny frms thr?"

"ENG_7093"," hwz frms dstnct 4m th prlmntry cmts?"

"ENG_7094"," 2 gt info mmbr rajya sabha?"

"ENG_7095"," 2 cntct mmbr rajya sbh?"

"ENG_7096"," 2 gt info sessions rjay sbha?"

"ENG_7097"," rajya sabha wbst avlble hndi?"

"ENG_7098"," mntns th rjy sbh wbst nd snd fdbck?"

"ENG_55x"," natnal flwr italy"

"ENG_56x"," whts chinas natnl flowr"

"ENG_57x"," whr prmntnt scrtrt saarc located"

"ENG_58x"," whts gateway 2 gulf iran"

"ENG_59x"," whr dd indusstrl revltn bgn"

"ENG_60x"," whn world envrnmet day celeb"

"ENG_63x"," whch cntry wrlds lrgst tin producr"

"ENG_64x"," whch cntry clld lnd rising sun"

"ENG_78x"," uplink dwnlnk freqs"

"ENG_89x"," apply bsnl conn"

"ENG_96x"," hppns irctcmble lkd"

"ENG_99x"," mke pymnts etkts"

"ENG_103x"," advtges isdn"

"ENG_104x"," nd seperte line isdn"

"ENG_105x"," 2 chnge 4m 1 data rate 2 anthr"

"ENG_135x"," gt bsnl conn"

"ENG_136x"," hlp gttng bsnl connx"

"ENG_137x"," gt bsnl connxn"

"ENG_138x"," pl tl 2 gt bsnl connctn"

"ENG_139x"," procdure 2 apply bsnl conncgtion"

"ENG_140x"," hppsn 2 telcom conn shft houses"

"ENG_141x"," mn upload"

"ENG_142x"," meant upld"

"ENG_159x"," csp mean?"

"ENG_163x"," ndded fot trnsmttng tv lng distnces"

"ENG_164x"," whch sgnl decoding encoding"

"ENG_165x"," adsl fastr thn dial cpnns?"

"ENG_170x"," whts main exprt jamica"

"ENG_171x"," whch white elphnt"

"ENG_172x"," ceo ggle"

"ENG_173x"," wch cntry iran sign nuc deal wd"

"ENG_216x"," 1st indin 2 visit space"

"ENG_242x"," whch univ toppd forbes billionar list"

"ENG_243x"," whr volanic mtn mt vesuvius lctd"

"ENG_244x"," ws 1st indian navy vice admirl"

"ENG_255x"," actvt irctcmbl"

"ENG_256x"," tell ppl abt irctc mble"

"ENG_270x"," lasr stimultn wk"

"ENG_271x"," ds line sght wrk fr 3050k aft dat"

"ENG_272x"," fm brdcst prefrd fr music/audio trnsmsion"

"ENG_274x"," ethernet"

"ENG_295x"," whch anml hs gt bld"

"ENG_296x"," whch lngst rvr wrld"

"ENG_297x"," whch hghst mtn wrld"

"ENG_298x"," whch lrgst desrt wrld"

"ENG_299x"," whts nme lrgst ocrn wrld"

"ENG_310x"," advtgs usg irctc mbl?"

"ENG_311x"," srves reltd irctc mbl"

"ENG_312x"," steps usng irctc mbl"

"ENG_313x"," bk tkts usng irctc mbl"

"ENG_314x"," psble cncl tkts using irctc mbl"

"ENG_325x"," hot telecom's privcy polcis"

"ENG_326x"," srvs prvdd hot telcom"

"ENG_327x"," mastr control fcilty"

"ENG_328x"," whts diff btwn crictcl freq crticl angle"

"ENG_329x"," spch reprodcd recvr"

"ENG_351x"," bytes mb"

"ENG_352x"," whch country hs largst land"

"ENG_353x"," whc muslim kingdom kerela"

"ENG_365x"," mny itkts stre irctcmbl"

"ENG_366x"," shd synch irctcmbl"

"ENG_367x"," actvt irctcmbl"

"ENG_369x"," credt card info usd safe irctc mbl"

"ENG_380x"," dsdvtgs wrld spce"

"ENG_383x"," brdct tv signls rnags"

"ENG_384x"," reqrd fr dplx comminc using 2 wirer circkt"

"ENG_391x"," hppns lose mob"

"ENG_392x"," irctc mobile"

"ENG_401x"," whch bggst desrt wrld"

"ENG_402x"," whts lngth eng chnnl"

"ENG_403x"," ds untd ntns stnd 4"

"ENG_404x"," invntd lght bulb"

"ENG_405x"," whch lngst rvr wrld"

"ENG_426x"," whr gt acrobat/winzip"

"ENG_427x"," tv trans use? am freq modultn?"

"ENG_428x"," ds data trnsmsn recpt tke plce using opticl comm"

"ENG_429x"," advtgs isdn"

"ENG_430x"," benift adsl?"

"ENG_446x"," thr anml tht hs white bld? yes, tl name"

"ENG_447x"," whch rvr carris max amt wtr sea"

"ENG_448x"," whts fullform uno"

"ENG_449x"," nyc poplry city of?"

"ENG_455x"," irctc 4 rly tktg"

"ENG_459x"," whn pnr aft mkg paymnt"

"ENG_465x"," type pymnet mths telcm"

"ENG_466x"," thr advtgs using isdn"

"ENG_467x"," nd dedictd line adsl"

"ENG_468x"," poss chnge 4m 1 data pln anthr brdbnd"

"ENG_469x"," spch genrtd recver"

"ENGLISH_657x"," nme fst pm india"

"ENGLISH_685x"," 1st generl free india"

"ENGLISH_686x"," ws 1st indian pm 2 rsgn wtht completeing term"

"ENGLISH_689x"," whch cntry producs lrgst amt dimnds wrld"

"ENGLISH_692x"," whch contry 1st hosted mdrn olympcs"

